date,sport,game,pick,market,line,odds_american,result,confidence,reasoning
2025-11-22T01:00:00+00:00,NCAAF,Florida State Seminoles @ NC State Wolfpack,Under,totals,59.5,-110,Pending,⭐⭐⭐⭐,"Consensus Source 1 and Sportsbook both list Under 59.5, giving a two-source agreement that boosts confidence. No Kalshi sentiment or team ranking data is available for this matchup."
2025-11-21T01:10:00+00:00,NBA,Atlanta Hawks @ San Antonio Spurs,Under,totals,233.5,-110,Pending,⭐⭐⭐⭐,"Consensus Source 1 and Sportsbook both recommend Under 233.5 at matching -110 pricing, indicating a clear expert + market alignment. No Kalshi sentiment is provided; confidence is boosted by the two-source agreement."
2025-11-20T23:00:00+00:00,NCAAB,Lindenwood Lions @ Indiana Hoosiers,Over,totals,155.5,-112,Pending,⭐⭐⭐⭐,"Consensus Source 1 and Sportsbook both present Over 155.5, giving a two-source consensus with closely matched lines and market pricing. Alignment between the expert consensus and sportsbook odds supports a higher-confidence totals play."
2025-11-21T00:30:00+00:00,NCAAF,Louisiana Ragin Cajuns @ Arkansas State Red Wolves,Under,totals,53.5,-110,Pending,⭐⭐⭐⭐,"Consensus Source 1 and Sportsbook both list Under 53.5, providing a two-source agreement and a confidence boost. No Kalshi sentiment or team ranking data is available for this matchup."
2025-11-20T23:00:00+00:00,NCAAB,Robert Morris Colonials @ St. Bonaventure Bonnies,Over,totals,146.5,-112,Pending,⭐⭐⭐⭐,"Consensus Source 1 and Sportsbook both list Over 146.5, yielding a two-source agreement on the total with consistent lines and market odds. The expert recommendation alongside the sportsbook price creates a reliable totals value bet."
2025-11-21T00:10:00+00:00,NBA,Los Angeles Clippers @ Orlando Magic,Under,totals,218.5,-108,Pending,⭐⭐⭐⭐,"Consensus Source 1 and Sportsbook both list Under 218.5 with near-identical pricing (-110 / -108), showing market agreement toward a lower total. No Kalshi data is available; the pick is driven by aligned expert consensus and sportsbook pricing."
2025-11-22T03:30:00+00:00,NCAAF,Hawaii Rainbow Warriors @ UNLV Rebels,UNLV Rebels,h2h,,-142,Pending,⭐⭐⭐,"Sportsbook lists UNLV ML at -142 and offers the clearest single-source value; Consensus Source 1 only provided totals for this matchup, so no additional expert agreement. No Kalshi data available, so single-source sportsbook value warrants a baseline confidence."
2025-11-21T01:15:00+00:00,NFL,Buffalo Bills @ Houston Texans,Under 43.5,totals,43.5,-115,Pending,⭐⭐⭐,"Oddsshark explicitly recommends the total UNDER 43.5 for Buffalo @ Houston (expert_consensus entry: game_title 'Buffalo @ Houston', match_date '2025-11-21T01:15:00Z', market 'total', line 'U 43.5', odds_american -110). DraftKings sample_odds in the context also shows the Under 43.5 at -115, aligning market direction with oddsshark. No other expert sources (oddstrader, cbs_sports) or Kalshi sentiment are present in the provided context, so consensus comes from oddsshark with alignment from the DraftKings price. Kalshi data is not provided here, so no Kalshi boost. Commence time is in the future and the DK odds (-115) are within the allowed range (-150 to +150). Given a single explicit expert source agreement plus matching market price, this meets the threshold for a 3-star pick."
2025-11-21T01:00:00Z,NBA,Sacramento @ Memphis,Under,totals,234.5,-110,Pending,⭐⭐⭐,"Consensus Source 1 lists Under 234.5 at -110 as the expert recommendation; no Sportsbook total line is provided in the context so this relies on the single expert source. No Kalshi data available, so confidence is moderate based on the expert pick alone."
2025-11-20T23:00:00+00:00,NCAAB,Purdue Boilermakers @ Memphis Tigers,Under,totals,156.5,-105,Pending,⭐⭐⭐,"Consensus Source 1 projects Under 159.5 for this matchup, and the Sportsbook total is 156.5 (-105), aligning to an Under lean at a similar line. With one source in agreement and fair price, this is a modest edge; no additional consensus or Kalshi data to boost higher."
